day_name,hour,n,long_win_rate,short_win_rate,avg_ret
Friday,9,33,0.5151515151515151,0.48484848484848486,4.938050939381433e-05
Friday,10,44,0.5,0.5,-6.89849711033282e-05
Friday,11,44,0.5227272727272727,0.4772727272727273,-7.081376954435333e-05
Friday,12,44,0.4772727272727273,0.5227272727272727,-0.00011259041298270135
Friday,13,44,0.4318181818181818,0.5681818181818182,-0.00010040688341236864
Friday,14,44,0.5454545454545454,0.45454545454545453,5.970484778361359e-05
Friday,15,22,0.6818181818181818,0.3181818181818182,0.00014731569819402315
Monday,9,39,0.5641025641025641,0.4358974358974359,0.0002352914278045729
Monday,10,52,0.5769230769230769,0.4230769230769231,0.00030556114025977936
Monday,11,52,0.4807692307692308,0.5192307692307693,-6.0893428936240355e-05
Monday,12,52,0.5384615384615384,0.46153846153846156,2.847009547072138e-05
Monday,13,52,0.5384615384615384,0.46153846153846156,-9.618687631092964e-05
Monday,14,52,0.4230769230769231,0.5769230769230769,-0.0001344383447030541
Monday,15,26,0.4230769230769231,0.5769230769230769,-0.0003441730298291458
Thursday,9,36,0.5833333333333334,0.4166666666666667,-0.00018349654572995743
Thursday,10,48,0.5,0.5,-0.00010175847431077423
Thursday,11,48,0.5208333333333334,0.4791666666666667,0.00025318376492344173
Thursday,12,48,0.5,0.5,-1.0742617760921294e-05
Thursday,13,48,0.4791666666666667,0.5208333333333334,3.407167218022051e-05
Thursday,14,48,0.5,0.5,-0.00012402933526374114
Thursday,15,24,0.4583333333333333,0.5416666666666666,-0.0001183216930178593
Tuesday,9,36,0.6388888888888888,0.3611111111111111,0.00010908290129627715
Tuesday,10,48,0.4791666666666667,0.5208333333333334,1.7736862128128349e-06
Tuesday,11,48,0.4375,0.5625,-0.000213747057094266
Tuesday,12,48,0.3541666666666667,0.6458333333333334,-4.111062066374758e-06
Tuesday,13,48,0.4791666666666667,0.5208333333333334,-9.099430707811526e-05
Tuesday,14,48,0.4791666666666667,0.5208333333333334,-6.173163110246103e-05
Tuesday,15,24,0.5416666666666666,0.4583333333333333,-0.00021133383504821598
Wednesday,9,39,0.6410256410256411,0.358974358974359,0.00022682599098146496
Wednesday,10,52,0.6346153846153846,0.36538461538461536,0.0002894935086498701
Wednesday,11,52,0.4807692307692308,0.5,7.759861741761967e-05
Wednesday,12,52,0.40384615384615385,0.5961538461538461,3.861218900564956e-05
Wednesday,13,52,0.46153846153846156,0.5384615384615384,-7.93503700799151e-05
Wednesday,14,52,0.5192307692307693,0.4807692307692308,1.710319576352129e-05
Wednesday,15,26,0.38461538461538464,0.6153846153846154,-0.0004494800383717196
